nom,time,T1,T2,frequency,anharmonicity,readout_error,prob_meas0_prep1,prob_meas1_prep0,readout_length
ibm_fez,2025-11-21_10:46:07,5.18740008837706e-05,4.2658410494139904e-05,,,0.01123046875,0.021240234375,0.001220703125,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00023838879915135408,8.375332366695901e-05,,,0.0216064453125,0.0283203125,0.014892578125,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00021791934995253652,0.00015690008054202245,,,0.004638671875,0.00537109375,0.00390625,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00020237922775024716,0.00019839182530046376,,,0.0247802734375,0.025390625,0.024169921875,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00023314310955956043,0.00015156435261419498,,,0.00341796875,0.005615234375,0.001220703125,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.0001874521882399151,0.00013142220175472134,,,0.0145263671875,0.024658203125,0.00439453125,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00015843238816237704,0.00010700166641697648,,,0.009033203125,0.008544921875,0.009521484375,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00011723412394336131,3.6748367704480906e-05,,,0.0211181640625,0.030517578125,0.01171875,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00019323988330598323,4.753126947732658e-05,,,0.0042724609375,0.006103515625,0.00244140625,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.0002404046296123347,2.851144771387806e-05,,,0.0093994140625,0.01123046875,0.007568359375,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.0001750352507056836,0.00011639534109648133,,,0.006103515625,0.01123046875,0.006591796875,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00012683323926626123,5.262796084105175e-05,,,0.0404052734375,0.034912109375,0.0458984375,1.56e-06
ibm_fez,2025-11-21_10:46:07,7.651525547384941e-05,6.831061533012529e-05,,,0.0240478515625,0.0283203125,0.019775390625,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.0001883351825685005,0.00014050918877173417,,,0.0137939453125,0.013671875,0.013916015625,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.0001626051929844829,7.284536480062653e-05,,,0.005615234375,0.0048828125,0.00634765625,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.0003568552952999958,0.00018075562499782495,,,0.0166015625,0.01953125,0.013671875,1.56e-06
ibm_fez,2025-11-21_10:46:07,6.469867489017785e-05,7.180490871605547e-05,,,0.007568359375,0.013427734375,0.001708984375,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00013739160727241356,8.959653096420304e-05,,,0.0067138671875,0.009765625,0.003662109375,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00017792548206248374,7.828661647044785e-05,,,0.0076904296875,0.010498046875,0.0048828125,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00014283971289004208,0.00014158263829954233,,,0.0072021484375,0.008544921875,0.005859375,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.0001558182894039108,0.00020637280508489794,,,0.0076904296875,0.00830078125,0.007080078125,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.000271887146802184,0.00020539682432418687,,,0.0052490234375,0.008056640625,0.00244140625,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00013909140620635597,0.00013000869701060904,,,0.00927734375,0.01806640625,0.00048828125,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.0001753916767983471,0.0001714312310179859,,,0.00390625,0.0068359375,0.0009765625,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.0001118502986930474,0.00013019135812427683,,,0.0126953125,0.012451171875,0.012939453125,1.56e-06
ibm_fez,2025-11-21_10:46:07,3.8131634435824864e-05,0.00015768965095893167,,,0.009033203125,0.010498046875,0.007568359375,1.56e-06
ibm_fez,2025-11-21_10:46:07,6.123489490640528e-05,5.776947573424562e-05,,,0.0079345703125,0.009765625,0.006103515625,1.56e-06
ibm_fez,2025-11-21_10:46:07,9.763337458150385e-05,8.430613566358084e-05,,,0.0111083984375,0.0166015625,0.00439453125,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00010036812538262648,0.00012351935746527848,,,0.0076904296875,0.0107421875,0.004638671875,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00019216052225229293,4.89666862400143e-05,,,0.0113525390625,0.012939453125,0.009765625,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.0001627237313409433,0.00012014659468361675,,,0.0091552734375,0.01171875,0.006591796875,1.56e-06
ibm_fez,2025-11-21_10:46:07,6.079146823621731e-05,4.678964577397727e-05,,,0.0166015625,0.02392578125,0.00927734375,1.56e-06
ibm_fez,2025-11-21_10:46:07,0.00011553533970398574,9.881317572490489e-05,,,0.031005859375,0.03466796875,0.02734375,1.56e-06
